Time,java.util.regex.Pattern$CharProperty$1 Data
0,253
1,253
2,253
3,253
4,253
5,253
6,253
7,253
8,253
9,253
10,253
11,253
12,253
13,253
14,253
15,253
16,253
17,253
18,253
19,253
20,253
21,253
22,253
23,253
24,253
25,253
26,253
27,253
28,253
29,253
30,253
31,253
32,253
33,253
34,253
35,253
36,253
37,253
38,253
39,253
40,253
41,253
42,253
43,253
44,253
45,253
46,253
47,253
48,253
49,253
50,253
51,253
52,253
53,253
54,253
55,253
56,253
57,253
58,253
59,253
60,253
61,253
62,253
63,253
64,253
65,253
66,253
67,253
68,253
69,253
70,253
71,253
72,253
73,253
74,253
75,253
76,253
77,253
78,253
79,253
80,253
81,253
82,253
83,253
84,253
85,253
86,253
87,253
88,253
89,253
90,253
91,253
92,253
93,253
94,253
95,253
96,253
97,253
98,253
99,253
100,253
101,253
102,253
103,253
104,253
105,253
106,253
107,253
108,253
109,253
110,253
111,253
112,253
113,253
114,253
115,253
116,253
117,253
118,253
119,253
120,253
121,253
122,253
123,253
124,253
125,253
126,253
127,253
128,253
129,253
130,253
131,253
132,253
133,253
134,253
135,253
136,253
137,253
138,253
139,253
140,253
141,253
142,253
143,253
144,253
145,253
146,253
147,253
148,253
149,253
150,253
151,253
152,253
153,253
154,253
155,253
156,253
157,253
158,253
159,253
160,253
161,253
162,253
163,253
164,253
