Time,sun.reflect.annotation.AnnotationType Data
0,165
1,166
2,166
3,166
4,166
5,166
6,166
7,166
8,166
9,166
10,166
11,166
12,166
13,166
14,166
15,166
16,166
17,166
18,166
19,166
20,166
21,166
22,166
23,166
24,166
25,166
26,166
27,166
28,166
29,166
30,166
31,166
32,166
33,166
34,166
35,166
36,166
37,166
38,166
39,166
40,166
41,166
42,166
43,166
44,166
45,166
46,166
47,166
48,166
49,166
50,166
51,166
52,166
53,166
54,166
55,166
56,166
57,166
58,166
59,166
60,166
61,166
62,166
63,166
64,166
65,166
66,166
67,166
68,166
69,166
70,166
71,166
72,166
73,166
74,166
75,166
76,166
77,166
78,166
79,166
80,166
81,166
82,166
83,166
84,166
85,166
86,166
87,166
88,166
89,166
90,166
91,166
92,166
93,166
94,166
95,166
96,166
97,166
98,166
99,166
100,166
101,166
102,166
103,166
104,166
105,166
106,166
107,166
108,166
109,166
110,166
111,166
112,166
113,166
114,166
115,166
116,166
117,166
118,166
119,166
120,166
121,166
122,166
123,166
124,166
125,166
126,166
127,166
128,166
129,166
130,166
131,166
132,166
