Time,[Ljava.lang.annotation.ElementType; Data
0,1036
1,1036
2,1036
3,1036
4,1036
5,1036
6,1036
7,1036
8,1036
9,1036
10,1036
11,1036
12,1036
13,1036
14,1036
15,1036
16,1036
17,1036
18,1036
19,1036
20,1036
21,1036
22,1036
23,1036
24,1036
25,1036
26,1036
27,1036
28,1036
29,1036
30,1036
31,1036
32,1036
33,1036
34,1036
35,1036
36,1036
37,1036
38,1036
39,1036
40,1036
41,1036
42,1036
43,1036
44,1036
45,1036
46,1036
47,1036
48,1036
49,1036
50,1036
51,1036
52,1036
53,1036
54,1036
55,1036
56,1036
57,1036
58,1036
59,1036
60,1036
61,1036
62,1036
63,1036
64,1036
65,1036
66,1036
67,1036
68,1036
69,1036
70,1036
71,1036
72,1036
73,1036
74,1036
75,1036
76,1036
77,1036
78,1036
79,1036
80,1036
81,1036
82,1036
83,1036
84,1036
85,1036
86,1036
87,1036
88,1036
89,1036
90,1036
91,1036
92,1036
93,1036
94,1036
95,1036
96,1036
97,1036
98,1036
99,1036
100,1036
101,1036
102,1036
103,1036
104,1036
105,1036
106,1036
107,1036
108,1036
109,1036
110,1036
111,1036
112,1036
113,1036
114,1036
115,1036
116,1036
117,1036
118,1036
119,1036
120,1036
121,1036
122,1036
123,1036
124,1036
125,1036
126,1036
127,1036
128,1036
129,1036
130,1036
131,1036
132,1036
133,1036
134,1036
135,1036
136,1036
137,1036
138,1036
139,1036
140,1036
141,1036
142,1036
143,1036
144,1036
145,1036
146,1036
147,1036
148,1036
149,1036
150,1036
151,1036
152,1036
153,1036
154,1036
155,1036
156,1036
157,1036
158,1036
159,1036
160,1036
161,1036
162,1036
163,1036
164,1036
165,1036
166,1036
167,1036
168,1036
169,1036
170,1036
171,1036
172,1036
173,1036
174,1036
175,1036
176,1036
177,1036
178,1036
179,1036
180,1036
181,1036
182,1036
183,1036
184,1036
185,1036
186,1036
187,1036
188,1036
189,1036
190,1036
191,1036
192,1036
193,1036
194,1036
195,1036
196,1036
197,1036
198,1036
199,1036
200,1036
201,1036
202,1036
203,1036
204,1036
205,1036
