Time,com.sun.jmx.mbeanserver.NamedObject Data
0,688
1,691
2,691
3,691
4,691
5,691
6,691
7,691
8,691
9,691
10,691
11,691
12,691
13,691
14,691
15,691
16,691
17,691
18,691
19,691
20,691
21,691
22,691
23,691
24,691
25,691
26,691
27,691
28,691
29,691
30,691
31,691
32,691
33,691
34,691
35,691
36,691
37,691
38,691
39,691
40,691
41,691
42,691
43,691
44,691
45,691
46,691
47,691
48,691
49,691
50,691
51,691
52,691
53,691
54,691
55,691
56,691
57,691
58,691
59,691
60,691
61,691
62,691
63,691
64,691
65,691
66,691
67,691
68,691
69,691
70,691
71,691
72,691
73,691
74,691
75,691
76,691
77,691
78,691
79,691
80,691
81,691
82,691
83,691
84,691
85,691
86,691
87,691
88,691
89,691
90,691
91,691
92,691
93,691
94,691
95,691
96,691
97,691
98,691
99,691
100,691
101,691
102,691
103,691
104,691
105,691
106,691
107,691
108,691
109,691
110,691
111,691
112,691
113,691
114,691
115,691
116,691
117,691
118,691
119,691
120,691
121,691
122,691
123,691
124,691
125,691
126,691
127,691
128,691
129,691
130,691
131,691
132,691
133,691
134,691
135,691
136,691
137,691
138,691
139,691
140,691
141,691
142,691
143,691
144,691
145,691
146,691
147,691
148,691
149,691
150,691
151,691
152,691
153,691
154,691
155,691
156,691
157,691
158,691
159,691
160,691
161,691
162,691
163,691
164,691
165,691
166,691
167,691
168,691
169,691
170,691
171,691
172,691
173,691
174,691
175,691
176,691
177,691
178,691
179,691
180,691
181,691
182,691
183,691
184,691
185,691
186,691
187,691
188,691
189,691
190,691
191,691
192,691
193,691
194,691
195,691
196,691
197,691
198,691
199,691
200,691
201,691
202,691
203,691
204,691
205,691
