Time,com.sun.proxy.$Proxy159 Data
0,532
1,532
2,532
3,532
4,532
5,532
6,532
7,532
8,532
9,532
10,532
11,532
12,532
13,532
14,532
15,532
16,532
17,532
18,532
19,532
20,532
21,532
22,532
23,532
24,532
25,532
26,532
27,532
28,532
29,532
30,532
31,532
32,532
33,532
34,532
35,532
36,532
37,532
38,532
39,532
40,532
41,532
42,532
43,532
44,532
45,532
46,532
47,532
48,532
49,532
50,532
51,532
52,532
53,532
54,532
55,532
56,532
57,532
58,532
59,532
60,532
61,532
62,532
63,532
64,532
65,532
66,532
67,532
68,532
69,532
70,532
71,532
72,532
73,532
74,532
75,532
76,532
77,532
78,532
79,532
80,532
81,532
82,532
83,532
84,532
85,532
86,532
87,532
88,532
89,532
90,532
91,532
92,532
93,532
94,532
95,532
96,532
97,532
98,532
99,532
100,532
101,532
102,532
103,532
104,532
105,532
106,532
107,532
108,532
109,532
110,532
111,532
112,532
113,532
114,532
115,532
116,532
117,532
118,532
119,532
120,532
121,532
122,532
123,532
124,532
125,532
126,532
127,532
128,532
129,532
130,532
131,532
132,532
133,532
134,532
135,532
136,532
137,532
138,532
139,532
140,532
141,532
142,532
143,532
144,532
145,532
146,532
147,532
148,532
149,532
150,532
151,532
152,532
153,532
154,532
155,532
156,532
157,532
158,532
159,532
160,532
161,532
162,532
163,532
164,532
165,532
166,532
167,532
168,532
169,532
170,532
171,532
172,532
173,532
174,532
175,532
176,532
177,532
178,532
179,532
180,532
181,532
182,532
183,532
184,532
185,532
186,532
187,532
188,532
189,532
190,532
191,532
192,532
193,532
194,532
195,532
196,532
197,532
198,532
199,532
200,532
201,532
202,532
203,532
204,532
205,532
