Time,org.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry Data
0,1033
1,1033
2,1033
3,1033
4,1033
5,1033
6,1033
7,1033
8,591
9,591
10,591
11,591
12,591
13,591
14,591
15,591
16,591
17,591
18,591
19,591
20,591
21,591
22,591
23,591
24,591
25,591
26,591
27,591
28,591
29,591
30,591
31,591
32,591
33,591
34,591
35,591
36,591
37,591
38,591
39,591
40,591
41,591
42,591
43,591
44,591
45,591
46,591
47,591
48,591
49,591
50,591
51,591
52,591
53,591
54,591
55,591
56,591
57,591
58,591
59,591
60,591
61,591
62,591
63,591
64,591
65,591
66,591
67,591
68,591
69,591
70,591
71,591
72,591
73,591
74,591
75,591
76,591
77,591
78,591
79,591
80,591
81,591
82,591
83,591
84,591
85,591
86,591
87,591
88,591
89,591
90,591
91,591
92,591
93,591
94,591
95,591
96,591
97,591
98,591
99,591
100,591
101,591
102,591
103,591
104,591
105,591
106,591
107,591
108,591
109,591
110,591
111,591
112,591
113,591
114,591
115,591
116,591
117,591
118,591
119,591
120,591
121,591
122,591
123,591
124,591
125,591
126,591
127,591
128,591
129,591
130,591
131,591
132,591
133,591
134,591
135,591
136,591
137,591
138,591
139,591
140,591
141,591
142,591
143,591
144,591
145,591
146,591
147,591
148,591
149,591
150,591
151,591
152,591
153,591
154,591
155,591
156,591
157,591
158,591
159,591
160,591
161,591
162,591
163,591
164,591
165,591
166,591
167,591
168,591
169,591
170,591
171,591
172,591
173,591
174,591
175,591
176,591
177,591
178,591
179,591
180,591
181,591
182,591
183,591
184,591
185,591
186,591
187,591
188,591
189,591
190,591
191,591
192,591
193,591
194,591
195,591
196,591
197,591
198,591
199,591
200,591
201,591
202,591
203,591
204,591
205,591
