Time,java.security.Permissions Data
0,1569
1,1575
2,1575
3,1575
4,1575
5,1575
6,1575
7,1575
8,1575
9,1575
10,1575
11,1575
12,1575
13,1575
14,1575
15,1575
16,1575
17,1575
18,1575
19,1575
20,1575
21,1575
22,1575
23,1575
24,1575
25,1575
26,1575
27,1575
28,1575
29,1575
30,1575
31,1575
32,1575
33,1575
34,1575
35,1575
36,1575
37,1575
38,1575
39,1575
40,1575
41,1575
42,1575
43,1575
44,1575
45,1575
46,1575
47,1575
48,1575
49,1575
50,1575
51,1575
52,1575
53,1575
54,1575
55,1575
56,1575
57,1575
58,1575
59,1575
60,1575
61,1575
62,1575
63,1575
64,1575
65,1575
66,1575
67,1575
68,1575
69,1575
70,1575
71,1575
72,1575
73,1575
74,1575
75,1575
76,1575
77,1575
78,1575
79,1575
80,1575
81,1575
82,1575
83,1575
84,1575
85,1575
86,1575
87,1575
88,1575
89,1575
90,1575
91,1575
92,1575
93,1575
94,1575
95,1575
96,1575
97,1575
98,1575
99,1575
100,1575
101,1575
102,1575
103,1575
104,1575
105,1575
106,1575
107,1575
108,1575
109,1575
110,1575
111,1575
112,1575
113,1575
114,1575
115,1575
116,1575
117,1575
118,1575
119,1575
120,1575
121,1575
122,1575
123,1575
124,1575
125,1575
126,1575
127,1575
128,1575
129,1575
130,1575
131,1575
132,1575
133,1575
134,1575
135,1575
136,1575
137,1575
138,1575
139,1575
140,1575
141,1575
142,1575
143,1575
144,1575
145,1575
146,1575
147,1575
148,1575
149,1575
150,1575
151,1575
152,1575
153,1575
154,1575
155,1575
156,1575
157,1575
158,1575
159,1575
160,1575
161,1575
162,1575
163,1575
164,1575
165,1575
166,1575
167,1575
168,1575
169,1575
170,1575
171,1575
172,1575
173,1575
174,1575
175,1575
176,1575
177,1575
178,1575
179,1575
180,1575
181,1575
182,1575
183,1575
184,1575
185,1575
186,1575
187,1575
188,1575
189,1575
190,1575
191,1575
192,1575
193,1575
194,1575
195,1575
196,1575
197,1575
198,1575
199,1575
200,1575
201,1575
202,1575
203,1575
204,1575
205,1575
