Time,org.apache.tomcat.util.buf.CharChunk Data
0,678
1,1001
2,1001
3,1001
4,1005
5,1005
6,1005
7,1005
8,1005
9,1005
10,1005
11,1005
12,1005
13,1005
14,1005
15,1005
16,1005
17,1005
18,1005
19,1005
20,1005
21,1005
22,1005
23,1005
24,1005
25,1005
26,1005
27,1005
28,1005
29,1005
30,1005
31,1005
32,1005
33,1005
34,1005
35,1005
36,1005
37,1005
38,1005
39,1005
40,1005
41,1005
42,1005
43,1005
44,1005
45,1005
46,1005
47,1005
48,1005
49,1005
50,1005
51,1005
52,1005
53,1005
54,1005
55,1005
56,1005
57,1005
58,1005
59,1005
60,1005
61,1005
62,1005
63,1005
64,1005
65,1005
66,1005
67,1005
68,1005
69,1005
70,1005
71,1005
72,1005
73,1005
74,1005
75,1005
76,1005
77,1005
78,1005
79,1005
80,1005
81,1005
82,1005
83,1005
84,1005
85,1005
86,1005
87,1005
88,1005
89,1005
90,1005
91,1005
92,1005
93,1005
94,1005
95,1005
96,1005
97,1005
98,1005
99,1005
100,1005
101,1005
102,1005
103,1005
104,1005
105,1005
106,1005
107,1005
108,1005
109,1005
110,1005
111,1005
112,1005
113,1005
114,1005
115,1005
116,1005
117,1005
118,1005
119,1005
120,1005
121,1005
122,1005
123,1005
124,1005
125,1005
126,1005
127,1005
128,1005
129,1005
130,1005
131,1005
132,1005
133,1005
134,1005
135,1005
136,1005
137,1005
138,1005
139,1005
140,1005
141,1005
142,1005
143,1005
144,1005
145,1005
146,1005
147,1005
148,1005
149,1005
150,1005
151,1005
152,1005
153,1005
154,1005
155,1005
156,1005
157,1005
158,1005
159,1005
160,1005
161,1005
162,1005
163,1005
164,1005
165,1005
166,1005
167,1005
168,1005
169,1005
170,1005
171,1005
172,1005
173,1005
174,1005
175,1005
176,1005
177,1005
178,1005
179,1005
180,1005
181,1005
182,1005
183,1005
184,1005
185,1005
186,1005
187,1005
188,1005
189,1005
190,1005
191,1005
192,1005
193,1005
194,1005
195,1005
196,1005
197,1005
198,1005
199,1005
200,1005
201,1005
202,1005
203,1005
204,1005
205,1005
