Time,java.util.regex.Pattern$Curly Data
0,798
1,836
2,815
3,824
4,831
5,795
6,842
7,837
8,787
9,830
10,816
11,830
12,800
13,840
14,836
15,814
16,842
17,831
18,793
19,822
20,792
21,819
22,841
23,823
24,841
25,854
26,843
27,792
28,795
29,801
30,806
31,853
32,798
33,805
34,846
35,845
36,843
37,837
38,801
39,793
40,862
41,823
42,806
43,797
44,803
45,791
46,854
47,801
48,858
49,838
50,790
51,846
52,815
53,830
54,801
55,853
56,844
57,818
58,790
59,797
60,850
61,812
62,821
63,855
64,825
65,833
66,800
67,796
68,845
69,805
70,800
71,827
72,869
73,856
74,799
75,833
76,826
77,847
78,870
79,862
80,793
81,814
82,801
83,826
84,841
85,819
86,830
87,841
88,819
89,834
90,839
91,815
92,821
93,823
94,816
95,794
96,883
97,883
98,841
99,838
100,834
101,792
102,870
103,872
104,818
105,810
106,791
107,836
108,825
109,805
110,843
111,830
112,814
113,857
114,831
115,799
116,874
117,818
118,893
119,867
120,801
121,876
122,880
123,828
124,889
125,853
126,892
127,848
128,817
129,845
130,800
131,869
132,897
133,850
134,889
135,815
136,869
137,818
138,869
139,892
140,837
141,894
142,804
143,852
144,902
145,821
146,892
147,830
148,854
149,901
150,840
151,855
152,901
153,837
154,847
155,898
156,825
157,833
158,793
159,832
160,833
161,881
162,905
163,794
164,825
165,855
166,862
167,892
168,801
169,833
170,793
171,823
172,857
173,851
174,874
175,908
176,905
177,801
178,829
179,827
180,843
181,870
182,798
183,816
184,835
185,823
186,845
187,855
188,840
189,858
190,877
191,859
192,877
193,894
194,826
195,841
196,847
197,825
198,836
199,845
200,824
201,828
202,806
203,802
204,811
205,915
