Time,java.util.TreeSet Data
0,277
1,378
2,393
3,411
4,450
5,416
6,522
7,547
8,484
9,587
10,603
11,624
12,620
13,718
14,739
15,716
16,804
17,821
18,771
19,858
20,825
21,884
22,971
23,948
24,1029
25,1068
26,1081
27,1024
28,1054
29,1087
30,1116
31,1221
32,1164
33,1186
34,1296
35,1327
36,1343
37,1377
38,1336
39,1347
40,1480
41,1450
42,1440
43,1470
44,1505
45,1513
46,1643
47,1587
48,1701
49,1712
50,1652
51,1770
52,1764
53,1814
54,1775
55,1895
56,1913
57,1868
58,1879
59,1918
60,2041
61,1979
62,2024
63,2132
64,2110
65,2153
66,2116
67,2141
68,2248
69,2193
70,2229
71,2306
72,2390
73,2409
74,2327
75,2426
76,2414
77,2502
78,2584
79,2582
80,2492
81,2573
82,2565
83,2628
84,2692
85,2663
86,2738
87,2778
88,2746
89,2825
90,2851
91,2833
92,2875
93,2905
94,2943
95,2916
96,3101
97,3134
98,3086
99,3103
100,3129
101,3083
102,3222
103,3290
104,3196
105,3261
106,3223
107,3331
108,3351
109,3317
110,3424
111,3439
112,3406
113,3522
114,3524
115,3482
116,3658
117,3564
118,3732
119,3714
120,3634
121,3761
122,3833
123,3752
124,3895
125,3858
126,3961
127,3908
128,3896
129,3960
130,3915
131,4039
132,4135
133,4087
134,4177
135,4072
136,4190
137,4149
138,4269
139,4329
140,4254
141,4388
142,4255
143,4361
144,4482
145,4353
146,4516
147,4446
148,4511
149,4617
150,4546
151,4596
152,4701
153,4620
154,4665
155,4786
156,4691
157,4733
158,4692
159,4783
160,4819
161,4908
162,4990
163,4824
164,4923
165,4985
166,5022
167,5115
168,4970
169,5072
170,5028
171,5107
172,5180
173,5210
174,5285
175,5355
176,5381
177,5222
178,5314
179,5305
180,5389
181,5450
182,5362
183,5400
184,5488
185,5477
186,5563
187,5599
188,5609
189,5655
190,5735
191,5724
192,5790
193,5846
194,5728
195,5812
196,5846
197,5814
198,5890
199,5928
200,5910
201,5955
202,5935
203,5966
204,6000
205,6209
