Time,org.apache.tomcat.util.modeler.BaseModelMBean Data
0,631
1,634
2,634
3,634
4,634
5,634
6,634
7,634
8,634
9,634
10,634
11,634
12,634
13,634
14,634
15,634
16,634
17,634
18,634
19,634
20,634
21,634
22,634
23,634
24,634
25,634
26,634
27,634
28,634
29,634
30,634
31,634
32,634
33,634
34,634
35,634
36,634
37,634
38,634
39,634
40,634
41,634
42,634
43,634
44,634
45,634
46,634
47,634
48,634
49,634
50,634
51,634
52,634
53,634
54,634
55,634
56,634
57,634
58,634
59,634
60,634
61,634
62,634
63,634
64,634
65,634
66,634
67,634
68,634
69,634
70,634
71,634
72,634
73,634
74,634
75,634
76,634
77,634
78,634
79,634
80,634
81,634
82,634
83,634
84,634
85,634
86,634
87,634
88,634
89,634
90,634
91,634
92,634
93,634
94,634
95,634
96,634
97,634
98,634
99,634
100,634
101,634
102,634
103,634
104,634
105,634
106,634
107,634
108,634
109,634
110,634
111,634
112,634
113,634
114,634
115,634
116,634
117,634
118,634
119,634
120,634
121,634
122,634
123,634
124,634
125,634
126,634
127,634
128,634
129,634
130,634
131,634
132,634
133,634
134,634
135,634
136,634
137,634
138,634
139,634
140,634
141,634
142,634
143,634
144,634
145,634
146,634
147,634
148,634
149,634
150,634
151,634
152,634
153,634
154,634
155,634
156,634
157,634
158,634
159,634
160,634
161,634
162,634
163,634
164,634
165,634
166,634
167,634
168,634
169,634
170,634
171,634
172,634
173,634
174,634
175,634
176,634
177,634
178,634
179,634
180,634
181,634
182,634
183,634
184,634
185,634
186,634
187,634
188,634
189,634
190,634
191,634
192,634
193,634
194,634
195,634
196,634
197,634
198,634
199,634
200,634
201,634
202,634
203,634
204,634
205,634
