Time,com.sun.proxy.$Proxy158 Data
0,420
1,420
2,420
3,420
4,420
5,420
6,420
7,420
8,420
9,420
10,420
11,420
12,420
13,420
14,420
15,420
16,420
17,420
18,420
19,420
20,420
21,420
22,420
23,420
24,420
25,420
26,420
27,420
28,420
29,420
30,420
31,420
32,420
33,420
34,420
35,420
36,420
37,420
38,420
39,420
40,420
41,420
42,420
43,420
44,420
45,420
46,420
47,420
48,420
49,420
50,420
51,420
52,420
53,420
54,420
55,420
56,420
57,420
58,420
59,420
60,420
61,420
62,420
63,420
64,420
65,420
66,420
67,420
68,420
69,420
70,420
71,420
72,420
73,420
74,420
75,420
76,420
77,420
78,420
79,420
80,420
81,420
82,420
83,420
84,420
85,420
86,420
87,420
88,420
89,420
90,420
91,420
92,420
93,420
94,420
95,420
96,420
97,420
98,420
99,420
100,420
101,420
102,420
103,420
104,420
105,420
106,420
107,420
108,420
109,420
110,420
111,420
112,420
113,420
114,420
115,420
116,420
117,420
118,420
119,420
120,420
121,420
122,420
123,420
124,420
125,420
126,420
127,420
128,420
129,420
130,420
131,420
132,420
133,420
134,420
135,420
136,420
137,420
138,420
139,420
140,420
141,420
142,420
143,420
144,420
145,420
146,420
147,420
148,420
149,420
150,420
151,420
152,420
153,420
154,420
155,420
156,420
157,420
158,420
159,420
160,420
161,420
162,420
163,420
164,420
165,420
166,420
167,420
168,420
169,420
170,420
171,420
172,420
173,420
174,420
175,420
176,420
177,420
178,420
179,420
180,420
181,420
