Time,org.apache.catalina.core.StandardPipeline Data
0,470
1,470
2,470
3,470
4,470
5,470
6,470
7,470
8,470
9,470
10,470
11,470
12,470
13,470
14,470
15,470
16,470
17,470
18,470
19,470
20,470
21,470
22,470
23,470
24,470
25,470
26,470
27,470
28,470
29,470
30,470
31,470
32,470
33,470
34,470
35,470
36,470
37,470
38,470
39,470
40,470
41,470
42,470
43,470
44,470
45,470
46,470
47,470
48,470
49,470
50,470
51,470
52,470
53,470
54,470
55,470
56,470
57,470
58,470
59,470
60,470
61,470
62,470
63,470
64,470
65,470
66,470
67,470
68,470
69,470
70,470
71,470
72,470
73,470
74,470
75,470
76,470
77,470
78,470
79,470
80,470
81,470
82,470
83,470
84,470
85,470
86,470
87,470
88,470
89,470
90,470
91,470
92,470
93,470
94,470
95,470
96,470
97,470
98,470
99,470
100,470
101,470
102,470
103,470
104,470
105,470
106,470
107,470
108,470
109,470
110,470
111,470
112,470
113,470
114,470
115,470
116,470
117,470
118,470
119,470
120,470
121,470
122,470
123,470
124,470
125,470
126,470
127,470
128,470
129,470
130,470
131,470
132,470
133,470
134,470
135,470
136,470
137,470
138,470
139,470
140,470
141,470
142,470
143,470
144,470
145,470
146,470
147,470
148,470
149,470
150,470
151,470
152,470
153,470
154,470
155,470
156,470
157,470
158,470
159,470
160,470
161,470
162,470
163,470
164,470
165,470
166,470
167,470
168,470
169,470
170,470
171,470
172,470
173,470
174,470
175,470
176,470
177,470
178,470
179,470
180,470
181,470
182,470
183,470
184,470
185,470
186,470
187,470
188,470
189,470
190,470
191,470
192,470
193,470
194,470
195,470
196,470
197,470
198,470
199,470
200,470
201,470
202,470
203,470
204,470
205,470
