Time,com.sun.proxy.$Proxy182 Data
0,349
1,349
2,349
3,349
4,349
5,349
6,349
7,349
8,348
9,348
10,348
11,348
12,348
13,348
14,348
15,348
16,348
17,348
18,348
19,348
20,348
21,348
22,348
23,348
24,348
25,348
26,348
27,348
28,348
29,348
30,348
31,348
32,348
33,348
34,348
35,348
36,348
37,348
38,348
39,348
40,348
41,348
42,348
43,348
44,348
45,348
46,348
47,348
48,348
49,348
50,348
51,348
52,348
53,348
54,348
55,348
56,348
57,348
58,348
59,348
60,348
61,348
62,348
63,348
64,348
65,348
66,348
67,348
68,348
69,348
70,348
71,348
72,348
73,348
74,348
75,348
76,348
77,348
78,348
79,348
80,348
81,348
82,348
83,348
84,348
85,348
86,348
87,348
88,348
89,348
90,348
91,348
92,348
93,348
94,348
95,348
96,348
97,348
98,348
99,348
100,348
101,348
102,348
103,348
104,348
105,348
106,348
107,348
108,348
109,348
110,348
111,348
112,348
113,348
114,348
115,348
116,348
117,348
118,348
119,348
120,348
121,348
122,348
123,348
124,348
125,348
126,348
127,348
128,348
129,348
130,348
131,348
132,348
133,348
134,348
135,348
136,348
137,348
138,348
139,348
140,348
141,348
142,348
143,348
144,348
145,348
146,348
147,348
148,348
