Time,sun.reflect.UnsafeObjectFieldAccessorImpl Data
0,371
1,376
2,376
3,376
4,376
5,376
6,376
7,376
8,243
9,243
10,243
11,243
12,243
13,243
14,243
15,243
16,243
17,243
18,243
19,243
20,243
21,243
22,243
23,243
24,243
25,243
26,243
27,243
28,243
29,243
30,243
31,243
32,243
33,243
34,243
35,243
36,243
37,243
38,243
39,243
40,243
41,243
42,243
43,243
44,243
45,243
46,243
47,243
48,243
49,243
50,243
51,243
52,243
53,243
54,243
55,243
56,243
57,243
58,243
59,243
60,243
61,243
62,243
63,243
64,243
65,243
66,243
67,243
68,243
69,243
70,243
71,243
72,243
73,243
74,243
75,243
76,243
77,243
78,243
79,243
80,243
81,243
82,243
83,243
84,243
85,243
86,243
87,243
88,243
89,243
90,243
91,243
92,243
93,243
94,243
95,243
96,243
97,243
98,243
99,243
100,243
101,243
102,243
103,243
104,243
105,243
106,243
107,243
108,243
109,243
110,243
111,243
112,243
113,243
114,243
115,243
116,243
117,243
118,243
119,243
120,243
121,243
122,243
123,243
124,243
125,243
126,243
127,243
128,243
129,243
130,243
131,243
132,243
133,243
134,243
135,243
136,243
137,243
138,243
139,243
140,243
141,243
142,243
143,243
144,243
145,243
146,243
147,243
148,243
149,243
150,243
151,243
152,243
153,243
154,243
155,243
156,243
