Time,com.sun.proxy.$Proxy23 Data
0,474
1,474
2,474
3,474
4,474
5,474
6,474
7,474
8,474
9,474
10,474
11,474
12,474
13,474
14,474
15,474
16,474
17,474
18,474
19,474
20,474
21,474
22,474
23,474
24,474
25,474
26,474
27,474
28,474
29,474
30,474
31,474
32,474
33,474
34,474
35,474
36,474
37,474
38,474
39,474
40,474
41,474
42,474
43,474
44,474
45,474
46,474
47,474
48,474
49,474
50,474
51,474
52,474
53,474
54,474
55,474
56,474
57,474
58,474
59,474
60,474
61,474
62,474
63,474
64,474
65,474
66,474
67,474
68,474
69,474
70,474
71,474
72,474
73,474
74,474
75,474
76,474
77,474
78,474
79,474
80,474
81,474
82,474
83,474
84,474
85,474
86,474
87,474
88,474
89,474
90,474
91,474
92,474
93,474
94,474
95,474
96,474
97,474
98,474
99,474
100,474
101,474
102,474
103,474
104,474
105,474
106,474
107,474
108,474
109,474
110,474
111,474
112,474
113,474
114,474
115,474
116,474
117,474
118,474
119,474
120,474
121,474
122,474
123,474
124,474
125,474
126,474
127,474
128,474
129,474
130,474
131,474
132,474
133,474
134,474
135,474
136,474
137,474
138,474
139,474
140,474
141,474
142,474
143,474
144,474
145,474
146,474
147,474
148,474
149,474
150,474
151,474
152,474
153,474
154,474
155,474
156,474
157,474
158,474
159,474
160,474
161,474
162,474
163,474
164,474
165,474
166,474
167,474
168,474
169,474
170,474
171,474
172,474
173,474
174,474
175,474
176,474
177,474
178,474
179,474
180,474
181,474
182,474
183,474
184,474
185,474
186,474
187,474
188,474
189,474
190,474
191,474
192,474
193,474
194,474
195,474
196,474
197,474
198,474
199,474
200,474
201,474
