Time,com.sun.org.apache.xerces.internal.impl.dtd.XMLEntityDecl Data
0,276
1,424
2,446
3,350
4,362
5,124
6,544
7,448
8,50
9,436
10,152
11,382
12,196
13,424
14,520
15,260
16,472
17,442
18,122
19,278
20,122
21,422
22,448
23,528
24,506
25,688
26,634
27,122
28,114
29,302
30,712
31,244
32,180
33,594
34,568
35,494
36,416
37,244
38,78
39,770
40,430
41,210
42,188
43,316
44,66
45,640
46,196
47,712
48,400
49,590
50,140
51,382
52,260
53,702
54,616
55,372
56,100
57,618
58,300
59,478
60,758
61,302
62,406
63,124
64,640
65,192
66,192
67,370
68,634
69,738
70,170
71,286
72,470
73,614
74,658
75,858
76,98
77,140
78,212
79,448
80,448
81,478
82,358
83,496
84,428
85,472
86,470
87,412
88,334
89,302
90,118
91,98
92,892
93,820
94,544
95,446
96,356
97,74
98,938
99,730
100,404
101,270
102,520
103,310
104,232
105,592
106,424
107,260
108,736
109,448
110,224
111,750
112,432
113,988
114,706
115,220
116,914
117,850
118,496
119,940
120,730
121,1062
122,640
123,164
124,556
125,220
126,802
127,1134
128,618
129,988
130,454
131,904
132,188
133,658
134,924
135,422
136,942
137,262
138,688
139,1116
140,478
141,1012
142,274
143,666
144,1086
145,424
146,690
147,1086
148,422
149,616
150,1062
151,212
152,406
153,348
154,420
155,852
156,1182
157,98
158,310
159,778
160,804
161,924
162,146
163,352
164,236
165,706
166,642
167,764
168,1134
169,1154
170,146
171,302
172,356
173,496
174,656
175,124
176,314
177,392
178,526
179,560
180,664
181,520
182,712
183,820
184,810
185,802
186,942
187,494
188,516
189,586
190,518
191,448
192,568
193,406
194,284
195,262
196,268
197,188
198,1280
