Time,java.io.FilePermission Data
0,1561
1,1567
2,1567
3,1567
4,1567
5,1567
6,1567
7,1567
8,1567
9,1567
10,1567
11,1567
12,1567
13,1567
14,1567
15,1567
16,1567
17,1567
18,1567
19,1567
20,1567
21,1567
22,1567
23,1567
24,1567
25,1567
26,1567
27,1567
28,1567
29,1567
30,1567
31,1567
32,1567
33,1567
34,1567
35,1567
36,1567
37,1567
38,1567
39,1567
40,1567
41,1567
42,1567
43,1567
44,1567
45,1567
46,1567
47,1567
48,1567
49,1567
50,1567
51,1567
52,1567
53,1567
54,1567
55,1567
56,1567
57,1567
58,1567
59,1567
60,1567
61,1567
62,1567
63,1567
64,1567
65,1567
66,1567
67,1567
68,1567
69,1567
70,1567
71,1567
72,1567
73,1567
74,1567
75,1567
76,1567
77,1567
78,1567
79,1567
80,1567
81,1567
82,1567
83,1567
84,1567
85,1567
86,1567
87,1567
88,1567
89,1567
90,1567
91,1567
92,1567
93,1567
94,1567
95,1567
96,1567
97,1567
98,1567
99,1567
100,1567
101,1567
102,1567
103,1567
104,1567
105,1567
106,1567
107,1567
108,1567
109,1567
110,1567
111,1567
112,1567
113,1567
114,1567
115,1567
116,1567
117,1567
118,1567
119,1567
120,1567
121,1567
122,1567
123,1567
124,1567
125,1567
126,1567
127,1567
128,1567
129,1567
130,1567
131,1567
132,1567
133,1567
134,1567
135,1567
136,1567
137,1567
138,1567
139,1567
140,1567
141,1567
142,1567
143,1567
144,1567
145,1567
146,1567
147,1567
148,1567
149,1567
150,1567
151,1567
152,1567
153,1567
154,1567
155,1567
156,1567
157,1567
158,1567
159,1567
160,1567
161,1567
162,1567
163,1567
164,1567
165,1567
166,1567
167,1567
168,1567
169,1567
170,1567
171,1567
172,1567
173,1567
174,1567
175,1567
176,1567
177,1567
178,1567
179,1567
180,1567
181,1567
182,1567
183,1567
184,1567
185,1567
186,1567
187,1567
188,1567
189,1567
190,1567
191,1567
192,1567
193,1567
194,1567
195,1567
196,1567
197,1567
198,1567
199,1567
200,1567
201,1567
202,1567
203,1567
204,1567
205,1567
