Time,[Ljava.security.ProtectionDomain; Data
0,521
1,1895
2,1611
3,1412
4,1637
5,487
6,2058
7,1923
8,113
9,1584
10,1217
11,1488
12,714
13,1965
14,1929
15,919
16,2004
17,1944
18,221
19,1282
20,237
21,1166
22,1987
23,1382
24,2105
25,2439
26,2134
27,242
28,293
29,403
30,580
31,2421
32,713
33,548
34,2246
35,2249
36,1933
37,2033
38,756
39,269
40,2700
41,1453
42,593
43,491
44,847
45,193
46,2467
47,741
48,2599
49,1930
50,165
51,2179
52,1099
53,1786
54,501
55,2515
56,2226
57,828
58,148
59,471
60,2484
61,748
62,1272
63,2752
64,1357
65,1843
66,416
67,567
68,2272
69,545
70,696
71,1515
72,2850
73,2804
74,429
75,1687
76,1332
77,2296
78,3170
79,2998
80,275
81,1076
82,742
83,1559
84,1998
85,1229
86,1828
87,2129
88,1190
89,1867
90,1780
91,1225
92,1396
93,1183
94,1202
95,257
96,3512
97,3552
98,2162
99,1762
100,1637
101,200
102,2888
103,3223
104,1160
105,1439
106,200
107,1920
108,1615
109,562
110,2211
111,1767
112,733
113,2565
114,1785
115,431
116,3367
117,1258
118,3816
119,2923
120,719
121,3007
122,3492
123,1591
124,3716
125,2501
126,4023
127,2284
128,1127
129,2228
130,733
131,2871
132,4152
133,2480
134,3760
135,1248
136,3213
137,1162
138,3100
139,4060
140,1727
141,3992
142,827
143,2422
144,4315
145,1270
146,3858
147,1525
148,2592
149,4181
150,1964
151,2620
152,4177
153,1745
154,2275
155,4233
156,1382
157,1841
158,346
159,1591
160,1942
161,3427
162,4494
163,249
164,1618
165,2645
166,2830
167,4053
168,435
169,1696
170,360
171,1321
172,2580
173,2511
174,3423
175,4506
176,4440
177,443
178,1514
179,1232
180,2026
181,2843
182,408
183,807
184,1679
185,1322
186,2236
187,2545
188,2064
189,2583
190,3340
191,2886
192,3341
193,3999
194,1312
195,2111
196,2302
197,1371
198,1977
199,2220
200,1451
201,1427
202,724
203,807
204,832
205,4859
