Time,java.lang.reflect.WeakCache$CacheValue Data
0,246
1,246
2,247
3,247
4,247
5,247
6,247
7,247
8,247
9,247
10,247
11,247
12,247
13,247
14,247
15,247
16,247
17,247
18,247
19,247
20,247
21,248
22,248
23,248
24,248
25,248
26,248
27,248
28,248
29,248
30,248
31,248
32,248
33,248
34,248
35,248
36,248
37,248
38,248
39,248
40,248
41,248
42,248
43,248
44,248
45,248
46,248
47,248
48,248
49,248
50,248
51,248
52,248
53,248
54,248
55,248
56,248
57,248
58,248
59,248
60,248
61,248
62,248
63,248
64,248
65,248
66,248
67,248
68,248
69,248
70,248
71,248
72,248
73,248
74,248
75,248
76,248
77,248
78,248
79,248
80,248
81,248
82,248
83,248
84,248
85,248
86,248
87,248
88,248
89,248
90,248
91,248
92,248
93,248
94,248
95,248
96,248
97,248
98,248
99,248
100,248
101,248
102,248
103,248
104,248
105,248
106,248
107,248
108,248
109,248
110,248
111,248
112,248
113,248
114,248
115,248
116,248
117,248
118,248
119,248
120,248
121,248
122,248
123,248
124,248
125,248
126,248
127,248
128,248
129,248
130,248
131,248
132,248
133,248
134,248
135,248
136,248
137,248
138,248
139,248
140,248
141,248
142,248
143,248
144,248
145,248
146,248
147,248
148,248
149,248
150,248
151,248
152,248
153,248
154,248
155,248
156,248
157,248
158,248
159,248
160,248
161,248
162,248
163,248
164,248
165,248
166,248
167,248
168,248
169,248
170,248
171,248
172,248
173,248
174,248
175,248
176,248
177,248
178,248
179,248
180,248
181,248
182,248
183,248
184,248
185,248
186,248
187,248
188,248
189,248
190,248
191,248
192,248
193,248
194,248
195,248
196,248
197,248
198,248
199,248
200,248
201,248
202,248
203,248
204,248
205,248
