Time,java.util.regex.Pattern$SliceI Data
0,458
1,458
2,458
3,458
4,458
5,458
6,458
7,458
8,458
9,458
10,458
11,458
12,458
13,458
14,458
15,458
16,458
17,458
18,458
19,458
20,458
21,458
22,458
23,458
24,458
25,458
26,458
27,458
28,458
29,458
30,458
31,458
32,458
33,458
34,458
35,458
36,458
37,458
38,458
39,458
40,458
41,458
42,458
43,458
44,458
45,458
46,458
47,458
48,458
49,458
50,458
51,458
52,458
53,458
54,458
55,458
56,458
57,458
58,458
59,458
60,458
61,458
62,458
63,458
64,458
65,458
66,458
67,458
68,458
69,458
70,458
71,458
72,458
73,458
74,458
75,458
76,458
77,458
78,458
79,458
80,458
81,458
82,458
83,458
84,458
85,458
86,458
87,458
88,458
89,458
90,458
91,458
92,458
93,458
94,458
95,458
96,458
97,458
98,458
99,458
100,458
101,458
102,458
103,458
104,458
105,458
106,458
107,458
108,458
109,458
110,458
111,458
112,458
113,458
114,458
115,458
116,458
117,458
118,458
119,458
120,458
121,458
122,458
123,458
124,458
125,458
126,458
127,458
128,458
129,458
130,458
131,458
132,458
133,458
134,458
135,458
136,458
137,458
138,458
139,458
140,458
141,458
142,458
143,458
144,458
145,458
146,458
147,458
148,458
149,458
150,458
151,458
152,458
153,458
154,458
155,458
156,458
157,458
158,458
159,458
160,458
161,458
162,458
163,458
164,458
165,458
166,458
167,458
168,458
169,458
170,458
171,458
172,458
173,458
174,458
175,458
176,458
177,458
178,458
179,458
180,458
181,458
182,458
183,458
184,458
185,458
186,458
187,458
188,458
189,458
190,458
191,458
192,458
193,458
194,458
195,458
196,458
197,458
198,458
199,458
200,458
201,458
202,458
203,458
204,458
205,458
