Time,com.sun.xml.internal.stream.XMLEntityStorage Data
0,134
1,208
2,219
3,171
4,177
5,268
6,220
7,214
8,187
9,94
10,208
11,256
12,126
13,232
14,217
15,135
16,57
17,207
18,220
19,260
20,249
21,340
22,313
23,147
24,352
25,118
26,86
27,293
28,280
29,243
30,204
31,118
32,381
33,211
34,101
35,90
36,154
37,316
38,94
39,352
40,196
41,291
42,187
43,126
44,347
45,304
46,182
47,305
48,146
49,235
50,375
51,147
52,199
53,316
54,92
55,92
56,181
57,313
58,365
59,81
60,139
61,231
62,303
63,325
64,425
65,102
66,220
67,220
68,235
69,175
70,244
71,210
72,232
73,231
74,202
75,163
76,147
77,442
78,406
79,268
80,219
81,174
82,465
83,361
84,198
85,131
86,256
87,151
88,112
89,292
90,208
91,126
92,364
93,220
94,108
95,371
96,212
97,490
98,349
99,106
100,453
101,421
102,244
103,466
104,361
105,527
106,316
107,274
108,106
109,397
110,563
111,305
112,490
113,223
114,448
115,325
116,458
117,207
118,467
119,127
120,340
121,554
122,235
123,502
124,133
125,329
126,539
127,208
128,341
129,539
130,207
131,304
132,527
133,199
134,170
135,206
136,422
137,587
138,151
139,385
140,398
141,458
142,172
143,114
144,349
145,317
146,378
147,563
148,573
149,147
150,174
151,244
152,324
153,153
154,192
155,259
156,276
157,328
158,256
159,352
160,406
161,401
162,397
163,467
164,243
165,254
166,289
167,255
168,220
169,280
170,199
171,138
172,127
173,130
174,90
175,636
