Time,[[Z Data
0,476
1,476
2,476
3,476
4,476
5,476
6,476
7,476
8,476
9,476
10,476
11,476
12,476
13,476
14,476
15,476
16,476
17,476
18,476
19,476
20,476
21,476
22,476
23,476
24,476
25,476
26,476
27,476
28,476
29,476
30,476
31,476
32,476
33,476
34,476
35,476
36,476
37,476
38,476
39,476
40,476
41,476
42,476
43,476
44,476
45,476
46,476
47,476
48,476
49,476
50,476
51,476
52,476
53,476
54,476
55,476
56,476
57,476
58,476
59,476
60,476
61,476
62,476
63,476
64,476
65,476
66,476
67,476
68,476
69,476
70,476
71,476
72,476
73,476
74,476
75,476
76,476
77,476
78,476
79,476
80,476
81,476
82,476
83,476
84,476
85,476
86,476
87,476
88,476
89,476
90,476
91,476
92,476
93,476
94,476
95,476
96,476
97,476
98,476
99,476
100,476
101,476
102,476
103,476
104,476
105,476
106,476
107,476
108,476
109,476
110,476
111,476
112,476
113,476
114,476
115,476
116,476
117,476
118,476
119,476
120,476
121,476
122,476
123,476
124,476
125,476
126,476
127,476
128,476
129,476
130,476
131,476
132,476
133,476
134,476
135,476
136,476
137,476
138,476
139,476
140,476
141,476
142,476
143,476
144,476
145,476
146,476
147,476
148,476
149,476
150,476
151,476
152,476
153,476
154,476
155,476
156,476
157,476
158,476
159,476
160,476
161,476
162,476
163,476
164,476
165,476
166,476
167,476
168,476
169,476
170,476
171,476
172,476
173,476
174,476
175,476
176,476
177,476
178,476
179,476
180,476
181,476
182,476
183,476
184,476
185,476
186,476
187,476
188,476
189,476
190,476
191,476
192,476
193,476
194,476
195,476
196,476
197,476
198,476
199,476
200,476
201,476
202,476
203,476
204,476
205,476
