Time,java.util.logging.LogManager$LoggerWeakRef Data
0,1026
1,1026
2,1026
3,1026
4,1026
5,1026
6,1026
7,1026
8,1026
9,1026
10,1026
11,1026
12,1026
13,1026
14,1026
15,1026
16,1026
17,1026
18,1026
19,1026
20,1026
21,1026
22,1026
23,1026
24,1026
25,1026
26,1026
27,1026
28,1026
29,1026
30,1026
31,1026
32,1026
33,1026
34,1026
35,1026
36,1026
37,1026
38,1026
39,1026
40,1026
41,1026
42,1026
43,1026
44,1026
45,1026
46,1026
47,1026
48,1026
49,1026
50,1026
51,1026
52,1026
53,1026
54,1026
55,1026
56,1026
57,1026
58,1026
59,1026
60,1026
61,1026
62,1026
63,1026
64,1026
65,1026
66,1026
67,1026
68,1026
69,1026
70,1026
71,1026
72,1026
73,1026
74,1026
75,1026
76,1026
77,1026
78,1026
79,1026
80,1026
81,1026
82,1026
83,1026
84,1026
85,1026
86,1026
87,1026
88,1026
89,1026
90,1026
91,1026
92,1026
93,1026
94,1026
95,1026
96,1026
97,1026
98,1026
99,1026
100,1026
101,1026
102,1026
103,1026
104,1026
105,1026
106,1026
107,1026
108,1026
109,1026
110,1026
111,1026
112,1026
113,1026
114,1026
115,1026
116,1026
117,1026
118,1026
119,1026
120,1026
121,1026
122,1026
123,1026
124,1026
125,1026
126,1026
127,1026
128,1026
129,1026
130,1026
131,1026
132,1026
133,1026
134,1026
135,1026
136,1026
137,1026
138,1026
139,1026
140,1026
141,1026
142,1026
143,1026
144,1026
145,1026
146,1026
147,1026
148,1026
149,1026
150,1026
151,1026
152,1026
153,1026
154,1026
155,1026
156,1026
157,1026
158,1026
159,1026
160,1026
161,1026
162,1026
163,1026
164,1026
165,1026
166,1026
167,1026
168,1026
169,1026
170,1026
171,1026
172,1026
173,1026
174,1026
175,1026
176,1026
177,1026
178,1026
179,1026
180,1026
181,1026
182,1026
183,1026
184,1026
185,1026
186,1026
187,1026
188,1026
189,1026
190,1026
191,1026
192,1026
193,1026
194,1026
195,1026
196,1026
197,1026
198,1026
199,1026
200,1026
201,1026
202,1026
203,1026
204,1026
205,1026
