Time,java.io.FilePermissionCollection Data
0,1562
1,1568
2,1568
3,1568
4,1568
5,1568
6,1568
7,1568
8,1568
9,1568
10,1568
11,1568
12,1568
13,1568
14,1568
15,1568
16,1568
17,1568
18,1568
19,1568
20,1568
21,1568
22,1568
23,1568
24,1568
25,1568
26,1568
27,1568
28,1568
29,1568
30,1568
31,1568
32,1568
33,1568
34,1568
35,1568
36,1568
37,1568
38,1568
39,1568
40,1568
41,1568
42,1568
43,1568
44,1568
45,1568
46,1568
47,1568
48,1568
49,1568
50,1568
51,1568
52,1568
53,1568
54,1568
55,1568
56,1568
57,1568
58,1568
59,1568
60,1568
61,1568
62,1568
63,1568
64,1568
65,1568
66,1568
67,1568
68,1568
69,1568
70,1568
71,1568
72,1568
73,1568
74,1568
75,1568
76,1568
77,1568
78,1568
79,1568
80,1568
81,1568
82,1568
83,1568
84,1568
85,1568
86,1568
87,1568
88,1568
89,1568
90,1568
91,1568
92,1568
93,1568
94,1568
95,1568
96,1568
97,1568
98,1568
99,1568
100,1568
101,1568
102,1568
103,1568
104,1568
105,1568
106,1568
107,1568
108,1568
109,1568
110,1568
111,1568
112,1568
113,1568
114,1568
115,1568
116,1568
117,1568
118,1568
119,1568
120,1568
121,1568
122,1568
123,1568
124,1568
125,1568
126,1568
127,1568
128,1568
129,1568
130,1568
131,1568
132,1568
133,1568
134,1568
135,1568
136,1568
137,1568
138,1568
139,1568
140,1568
141,1568
142,1568
143,1568
144,1568
145,1568
146,1568
147,1568
148,1568
149,1568
150,1568
151,1568
152,1568
153,1568
154,1568
155,1568
156,1568
157,1568
158,1568
159,1568
160,1568
161,1568
162,1568
163,1568
164,1568
165,1568
166,1568
167,1568
168,1568
169,1568
170,1568
171,1568
172,1568
173,1568
174,1568
175,1568
176,1568
177,1568
178,1568
179,1568
180,1568
181,1568
182,1568
183,1568
184,1568
185,1568
186,1568
187,1568
188,1568
189,1568
190,1568
191,1568
192,1568
193,1568
194,1568
195,1568
196,1568
197,1568
198,1568
199,1568
200,1568
201,1568
202,1568
203,1568
204,1568
205,1568
