Time,org.codehaus.groovy.reflection.CachedMethod Data
0,738
1,738
2,738
3,738
4,738
5,738
6,738
7,738
8,337
9,337
10,337
11,337
12,337
13,337
14,337
15,337
16,337
17,337
18,337
19,337
20,337
21,337
22,337
23,337
24,337
25,337
26,337
27,337
28,337
29,337
30,337
31,337
32,337
33,337
34,337
35,337
36,337
37,337
38,337
39,337
40,337
41,337
42,337
43,337
44,337
45,337
46,337
47,337
48,337
49,337
50,337
51,337
52,337
53,337
54,337
55,337
56,337
57,337
58,337
59,337
60,337
61,337
62,337
63,337
64,337
65,337
66,337
67,337
68,337
69,337
70,337
71,337
72,337
73,337
74,337
75,337
76,337
77,337
78,337
79,337
80,337
81,337
82,337
83,337
84,337
85,337
86,337
87,337
88,337
89,337
90,337
91,337
92,337
93,337
94,337
95,337
96,337
97,337
98,337
99,337
100,337
101,337
102,337
103,337
104,337
105,337
106,337
107,337
108,337
109,337
110,337
111,337
112,337
113,337
114,337
115,337
116,337
117,337
118,337
119,337
120,337
121,337
122,337
123,337
124,337
125,337
126,337
127,337
128,337
129,337
130,337
131,337
132,337
133,337
134,337
135,337
136,337
137,337
138,337
139,337
140,337
141,337
142,337
143,337
144,337
145,337
146,337
147,337
148,337
149,337
150,337
151,337
152,337
153,337
154,337
155,337
156,337
157,337
158,337
159,337
160,337
161,337
162,337
163,337
164,337
165,337
166,337
167,337
168,337
169,337
170,337
171,337
172,337
173,337
174,337
175,337
176,337
177,337
178,337
179,337
180,337
181,337
182,337
183,337
184,337
185,337
186,337
187,337
188,337
189,337
190,337
191,337
192,337
193,337
194,337
195,337
196,337
197,337
198,337
199,337
200,337
201,337
202,337
203,337
204,337
205,337
