Time,[Lorg.hibernate.engine.CascadeStyle; Data
0,440
1,440
2,440
3,440
4,440
5,440
6,440
7,440
8,440
9,440
10,440
11,440
12,440
13,440
14,440
15,440
16,440
17,440
18,440
19,440
20,440
21,440
22,440
23,440
24,440
25,440
26,440
27,440
28,440
29,440
30,440
31,440
32,440
33,440
34,440
35,440
36,440
37,440
38,440
39,440
40,440
41,440
42,440
43,440
44,440
45,440
46,440
47,440
48,440
49,440
50,440
51,440
52,440
53,440
54,440
55,440
56,440
57,440
58,440
59,440
60,440
61,440
62,440
63,440
64,440
65,440
66,440
67,440
68,440
69,440
70,440
71,440
72,440
73,440
74,440
75,440
76,440
77,440
78,440
79,440
80,440
81,440
82,440
83,440
84,440
85,440
86,440
87,440
88,440
89,440
90,440
91,440
92,440
93,440
94,440
95,440
96,440
97,440
98,440
99,440
100,440
101,440
102,440
103,440
104,440
105,440
106,440
107,440
108,440
109,440
110,440
111,440
112,440
113,440
114,440
115,440
116,440
117,440
118,440
119,440
120,440
121,440
122,440
123,440
124,440
125,440
126,440
127,440
128,440
129,440
130,440
131,440
132,440
133,440
134,440
135,440
136,440
137,440
138,440
139,440
140,440
141,440
142,440
143,440
144,440
145,440
146,440
147,440
148,440
149,440
150,440
151,440
152,440
153,440
154,440
155,440
156,440
157,440
158,440
159,440
160,440
161,440
162,440
163,440
164,440
165,440
166,440
167,440
168,440
169,440
170,440
171,440
172,440
173,440
174,440
175,440
176,440
177,440
178,440
179,440
180,440
181,440
182,440
183,440
184,440
185,440
186,440
187,440
188,440
189,440
190,440
191,440
192,440
193,440
194,440
195,440
196,440
197,440
198,440
199,440
200,440
201,440
202,440
203,440
204,440
205,440
