Time,java.util.concurrent.locks.ReentrantLock Data
0,1515
1,1515
2,1515
3,1515
4,1515
5,1515
6,1515
7,1515
8,1515
9,1515
10,1515
11,1515
12,1515
13,1515
14,1515
15,1515
16,1515
17,1515
18,1515
19,1515
20,1515
21,1515
22,1515
23,1515
24,1515
25,1515
26,1515
27,1515
28,1515
29,1515
30,1515
31,1515
32,1515
33,1515
34,1515
35,1515
36,1515
37,1515
38,1515
39,1515
40,1515
41,1515
42,1515
43,1515
44,1515
45,1515
46,1515
47,1515
48,1515
49,1515
50,1515
51,1515
52,1515
53,1515
54,1515
55,1515
56,1515
57,1515
58,1515
59,1515
60,1515
61,1515
62,1515
63,1515
64,1515
65,1515
66,1515
67,1515
68,1515
69,1515
70,1515
71,1515
72,1515
73,1515
74,1515
75,1515
76,1515
77,1515
78,1515
79,1515
80,1515
81,1515
82,1515
83,1515
84,1515
85,1515
86,1515
87,1515
88,1515
89,1515
90,1515
91,1515
92,1515
93,1515
94,1515
95,1515
96,1515
97,1515
98,1515
99,1515
100,1515
101,1515
102,1515
103,1515
104,1515
105,1515
106,1515
107,1515
108,1515
109,1515
110,1515
111,1515
112,1515
113,1515
114,1515
115,1515
116,1515
117,1515
118,1515
119,1515
120,1515
121,1515
122,1515
123,1515
124,1515
125,1515
126,1515
127,1515
128,1515
129,1515
130,1515
131,1515
132,1515
133,1515
134,1515
135,1515
136,1515
137,1515
138,1515
139,1515
140,1515
141,1515
142,1515
143,1515
144,1515
145,1515
146,1515
147,1515
148,1515
149,1515
150,1515
151,1515
152,1515
153,1515
154,1515
155,1515
156,1515
157,1515
158,1515
159,1515
160,1515
161,1515
162,1515
163,1515
164,1515
165,1515
166,1515
167,1515
168,1515
169,1515
170,1515
171,1515
172,1515
173,1515
174,1515
175,1515
176,1515
177,1515
178,1515
179,1515
180,1515
181,1515
182,1515
183,1515
184,1515
185,1515
186,1515
187,1515
188,1515
189,1515
190,1515
191,1515
192,1515
193,1515
194,1515
195,1515
196,1515
197,1515
198,1515
199,1515
200,1515
201,1515
202,1515
203,1515
204,1515
205,1515
