Time,org.apache.juli.logging.DirectJDKLog Data
0,662
1,662
2,662
3,662
4,662
5,662
6,662
7,662
8,662
9,662
10,662
11,662
12,662
13,662
14,662
15,662
16,662
17,662
18,662
19,662
20,662
21,662
22,662
23,662
24,662
25,662
26,662
27,662
28,662
29,662
30,662
31,662
32,662
33,662
34,662
35,662
36,662
37,662
38,662
39,662
40,662
41,662
42,662
43,662
44,662
45,662
46,662
47,662
48,662
49,662
50,662
51,662
52,662
53,662
54,662
55,662
56,662
57,662
58,662
59,662
60,662
61,662
62,662
63,662
64,662
65,662
66,662
67,662
68,662
69,662
70,662
71,662
72,662
73,662
74,662
75,662
76,662
77,662
78,662
79,662
80,662
81,662
82,662
83,662
84,662
85,662
86,662
87,662
88,662
89,662
90,662
91,662
92,662
93,662
94,662
95,662
96,662
97,662
98,662
99,662
100,662
101,662
102,662
103,662
104,662
105,662
106,662
107,662
108,662
109,662
110,662
111,662
112,662
113,662
114,662
115,662
116,662
117,662
118,662
119,662
120,662
121,662
122,662
123,662
124,662
125,662
126,662
127,662
128,662
129,662
130,662
131,662
132,662
133,662
134,662
135,662
136,662
137,662
138,662
139,662
140,662
141,662
142,662
143,662
144,662
145,662
146,662
147,662
148,662
149,662
150,662
151,662
152,662
153,662
154,662
155,662
156,662
157,662
158,662
159,662
160,662
161,662
162,662
163,662
164,662
165,662
166,662
167,662
168,662
169,662
170,662
171,662
172,662
173,662
174,662
175,662
176,662
177,662
178,662
179,662
180,662
181,662
182,662
183,662
184,662
185,662
186,662
187,662
188,662
189,662
190,662
191,662
192,662
193,662
194,662
195,662
196,662
197,662
198,662
199,662
200,662
201,662
202,662
203,662
204,662
205,662
