Time,[Ljava.util.Formatter$Flags; Data
0,150
1,137
2,147
3,143
4,138
5,170
6,153
7,157
8,173
9,163
10,182
11,150
12,178
13,203
14,132
15,160
16,197
17,194
18,159
19,225
20,213
21,142
22,141
23,256
24,243
25,143
26,199
27,233
28,143
29,145
30,187
31,233
32,271
33,196
34,216
35,240
36,254
37,171
38,291
39,160
40,145
41,196
42,301
43,170
44,262
45,216
46,215
47,291
48,286
49,308
50,267
51,188
52,302
53,189
54,306
55,159
56,291
57,139
58,140
59,236
60,320
61,197
62,275
63,180
64,239
65,313
66,307
67,148
68,193
69,144
70,157
71,170
72,232
73,212
74,238
75,276
76,156
77,156
78,355
