Time,com.sun.org.apache.xerces.internal.impl.dtd.XMLAttributeDecl Data
0,227
1,276
2,228
3,222
4,195
5,216
6,264
7,240
8,225
9,215
10,228
11,268
12,257
13,348
14,321
15,155
16,360
17,301
18,288
19,251
20,212
21,389
22,219
23,162
24,324
25,360
26,299
27,355
28,312
29,190
30,313
31,243
32,383
33,207
34,324
35,321
36,373
37,239
38,311
39,333
40,433
41,228
42,228
43,243
44,252
45,218
46,240
47,239
48,210
49,450
50,414
51,276
52,227
53,473
54,369
55,206
56,264
57,300
58,216
59,372
60,228
61,379
62,220
63,498
64,357
65,461
66,429
67,252
68,474
69,369
70,535
71,324
72,282
73,405
74,571
75,313
76,498
77,231
78,456
79,333
80,466
81,215
82,475
83,348
84,562
85,243
86,510
87,337
88,547
89,216
90,349
91,547
92,215
93,312
94,535
95,207
96,214
97,430
98,595
99,393
100,406
101,466
102,357
103,325
104,386
105,571
106,581
107,252
108,332
109,267
110,284
111,336
112,264
113,360
114,414
115,409
116,405
117,475
118,251
119,262
120,297
121,263
122,228
123,288
124,207
125,644
