Time,[Ljava.lang.String; Data
0,117524
1,150991
2,159118
3,155474
4,160048
5,142971
6,183010
7,181383
8,135558
9,176903
10,164508
11,181673
12,173013
13,196444
14,205465
15,189438
16,212455
17,214703
18,187806
19,210752
20,183666
21,213784
22,227935
23,231145
24,239198
25,260683
26,257362
27,213535
28,227297
29,227448
30,244301
31,280461
32,236847
33,241430
34,280279
35,282342
36,281804
37,282196
38,268467
39,260618
40,319433
41,296337
42,283790
43,286743
44,283449
45,273147
46,328869
47,296514
48,342246
49,323633
50,293872
51,342919
52,319253
53,340489
54,329564
55,372643
56,348158
57,331670
58,316048
59,323867
60,372340
61,345593
62,365435
63,392936
64,365748
65,379323
66,353774
67,360159
68,395449
69,365589
70,369289
71,392811
72,422003
73,427782
74,376014
75,399584
76,409274
77,429249
78,447408
79,459987
80,403482
81,416913
82,417794
83,442611
84,451226
85,450199
86,435822
87,453247
88,447567
89,460890
90,463488
91,461863
92,462832
93,463708
94,458995
95,452993
96,528236
97,527585
98,488815
99,488635
100,487923
101,465239
102,536310
103,535013
104,504062
105,506753
106,487362
107,529906
108,522781
109,512585
110,533112
111,528902
112,516210
113,559896
114,545023
115,527334
116,582721
117,551835
118,606812
119,589212
120,548714
121,609374
122,599591
123,573556
124,618551
125,604516
126,637076
127,603955
128,578592
129,607060
130,586106
131,637082
132,668948
133,632383
134,650709
135,609063
136,653971
137,607553
138,651724
139,675565
140,634583
141,685112
142,627112
143,670729
144,711499
145,656333
146,695027
147,644074
148,678973
149,719003
150,671210
151,693675
152,732175
153,681788
154,698900
155,743284
156,682758
157,700822
158,661872
159,691029
160,703749
161,742423
162,774572
163,684457
164,714283
165,749582
166,757201
167,777682
168,713916
169,738562
170,703132
171,726167
172,764804
173,764603
174,784260
175,817015
176,818231
177,742259
178,761051
179,765776
180,784837
181,804890
182,749123
183,766228
184,782168
185,791000
186,803404
187,817487
188,808558
189,830919
190,846460
191,844351
192,855662
193,871120
194,814797
195,827224
196,838411
197,830538
198,835963
199,849122
200,840520
201,838643
202,835538
203,842348
204,842748
205,933595
