Time,com.sun.org.apache.xerces.internal.util.SymbolHash$Entry Data
0,192
1,192
2,192
3,192
4,192
5,192
6,192
7,192
8,192
9,192
10,192
11,192
12,192
13,192
14,192
15,192
16,192
17,192
18,192
19,192
20,192
21,192
22,192
23,192
24,192
25,192
26,192
27,192
28,192
29,192
30,192
31,192
32,192
33,192
34,192
35,192
36,192
37,192
38,192
39,192
40,192
41,192
42,192
43,192
44,192
45,192
46,192
47,192
48,192
49,192
50,192
51,192
52,192
53,192
54,192
55,192
56,192
57,192
58,192
59,192
60,192
61,192
62,192
63,192
64,192
65,192
66,192
67,192
68,192
69,192
70,192
71,192
72,192
73,192
74,192
